epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.8093,1.48661,3.16899,1.51196,0.40957,0.36852,0.36721,0.17775,1.75643,1.95085,1.71589,0.00023654,0.00023654,0.00023654
2,62.479,1.39813,1.91393,1.45532,0.53052,0.47607,0.49647,0.21186,1.91544,1.95583,1.90463,0.000470625,0.000470625,0.000470625
3,92.2088,1.35346,1.73188,1.4341,0.51892,0.47496,0.46591,0.20703,1.93918,2.00993,1.98575,0.000700783,0.000700783,0.000700783
4,120.867,1.33916,1.64424,1.41561,0.66801,0.51054,0.56071,0.25159,1.91999,1.67411,1.90293,0.000696328,0.000696328,0.000696328
5,150.03,1.30283,1.56039,1.39486,0.69481,0.50052,0.55804,0.28452,1.79805,1.61,1.78864,0.000690438,0.000690438,0.000690438
6,178.414,1.30447,1.50933,1.38121,0.72291,0.52901,0.59272,0.29087,1.83367,1.52934,1.80833,0.000684548,0.000684548,0.000684548
7,206.904,1.26656,1.43266,1.37171,0.75787,0.52579,0.5983,0.27479,1.89079,1.63671,1.84034,0.000678657,0.000678657,0.000678657
8,235.897,1.2589,1.41208,1.36713,0.80086,0.55394,0.5973,0.30171,1.73999,1.47379,1.68278,0.000672767,0.000672767,0.000672767
9,264.36,1.23547,1.34858,1.34555,0.74282,0.56024,0.61073,0.32373,1.71792,1.42179,1.74585,0.000666876,0.000666876,0.000666876
10,293.217,1.2181,1.30066,1.32498,0.74186,0.57829,0.63218,0.3005,1.80598,1.40061,1.77976,0.000660986,0.000660986,0.000660986
11,322.084,1.19848,1.25736,1.3196,0.74928,0.60995,0.65547,0.34027,1.74779,1.31553,1.69959,0.000655095,0.000655095,0.000655095
12,350.622,1.19372,1.2346,1.30623,0.77826,0.57406,0.64348,0.33206,1.69719,1.3103,1.6825,0.000649204,0.000649204,0.000649204
13,379.058,1.18399,1.21828,1.30493,0.79365,0.59036,0.65871,0.32855,1.70067,1.25127,1.6966,0.000643314,0.000643314,0.000643314
14,407.323,1.1704,1.19728,1.29464,0.78985,0.61369,0.67068,0.33959,1.72769,1.24278,1.66764,0.000637423,0.000637423,0.000637423
15,436.173,1.16364,1.15833,1.28486,0.76798,0.60529,0.66027,0.31547,1.80825,1.32789,1.78249,0.000631533,0.000631533,0.000631533
16,464.395,1.14286,1.12778,1.27292,0.83033,0.58812,0.66813,0.34201,1.68585,1.24713,1.65729,0.000625642,0.000625642,0.000625642
17,493.134,1.14236,1.1323,1.27489,0.80755,0.59811,0.68791,0.36098,1.64422,1.20199,1.62002,0.000619752,0.000619752,0.000619752
18,521.57,1.14565,1.11776,1.27406,0.83787,0.58392,0.67465,0.37723,1.58135,1.17754,1.60503,0.000613862,0.000613862,0.000613862
19,550.479,1.14068,1.08996,1.25731,0.77293,0.63095,0.67518,0.34444,1.68213,1.26025,1.69184,0.000607971,0.000607971,0.000607971
20,578.874,1.12964,1.08077,1.26078,0.81939,0.59999,0.68678,0.37026,1.60313,1.15994,1.58428,0.000602081,0.000602081,0.000602081
21,607.376,1.11232,1.06246,1.25411,0.8039,0.6434,0.70826,0.367,1.67036,1.15447,1.64223,0.00059619,0.00059619,0.00059619
22,635.906,1.11946,1.04984,1.24619,0.80751,0.62535,0.679,0.36073,1.63456,1.18313,1.61771,0.0005903,0.0005903,0.0005903
23,663.849,1.10337,1.02855,1.24781,0.8173,0.64398,0.71299,0.35656,1.70943,1.11614,1.6853,0.000584409,0.000584409,0.000584409
24,692.53,1.08859,1.01773,1.22898,0.80863,0.63862,0.70447,0.35932,1.69183,1.14868,1.70236,0.000578519,0.000578519,0.000578519
25,721.586,1.09081,1.00838,1.23484,0.78792,0.68083,0.73463,0.37548,1.64355,1.11788,1.60693,0.000572628,0.000572628,0.000572628
26,750.167,1.07894,1.00282,1.22439,0.86159,0.61197,0.71345,0.39085,1.53169,1.04044,1.53844,0.000566737,0.000566737,0.000566737
27,778.557,1.08301,0.99382,1.22933,0.80794,0.60647,0.69524,0.38845,1.54211,1.08434,1.5445,0.000560847,0.000560847,0.000560847
28,807.345,1.07461,0.97989,1.21925,0.83713,0.66163,0.72686,0.40225,1.57083,1.03164,1.54817,0.000554956,0.000554956,0.000554956
29,835.275,1.06551,0.96536,1.21689,0.8194,0.63427,0.7245,0.39297,1.54525,1.06542,1.52877,0.000549066,0.000549066,0.000549066
30,863.699,1.05408,0.96472,1.20852,0.80836,0.66375,0.7152,0.37044,1.67079,1.11222,1.62442,0.000543175,0.000543175,0.000543175
31,892.176,1.05177,0.94492,1.204,0.81823,0.63854,0.72191,0.38839,1.57137,1.05469,1.58563,0.000537285,0.000537285,0.000537285
32,921.069,1.0513,0.93902,1.19995,0.83596,0.65157,0.72509,0.41179,1.56193,1.04033,1.55664,0.000531395,0.000531395,0.000531395
33,949.335,1.04808,0.93417,1.19746,0.85482,0.67169,0.73385,0.37048,1.68171,1.05896,1.68274,0.000525504,0.000525504,0.000525504
34,977.671,1.04549,0.92247,1.20072,0.84145,0.66391,0.74461,0.41301,1.57944,0.99922,1.55529,0.000519613,0.000519613,0.000519613
35,1005.59,1.02727,0.90726,1.18881,0.87217,0.65764,0.74826,0.42969,1.47307,0.96669,1.48588,0.000513723,0.000513723,0.000513723
36,1034.45,1.02972,0.9001,1.18441,0.86406,0.67039,0.76224,0.43865,1.44852,0.93594,1.44256,0.000507833,0.000507833,0.000507833
37,1063.07,1.02371,0.89594,1.17768,0.82007,0.66572,0.73957,0.42026,1.49594,1.00162,1.47172,0.000501942,0.000501942,0.000501942
38,1091.73,1.02248,0.89731,1.18663,0.83859,0.6716,0.75708,0.4513,1.4248,0.9425,1.44471,0.000496052,0.000496052,0.000496052
39,1119.82,1.01503,0.88108,1.17856,0.87532,0.66982,0.76421,0.4048,1.65219,0.9748,1.64721,0.000490161,0.000490161,0.000490161
40,1148.2,1.01854,0.89301,1.18133,0.85326,0.68136,0.76404,0.4303,1.52741,0.93391,1.52085,0.000484271,0.000484271,0.000484271
41,1176.87,1.01423,0.87711,1.17302,0.84173,0.70154,0.77037,0.43897,1.51045,0.93719,1.51469,0.00047838,0.00047838,0.00047838
42,1205.64,1.00047,0.87133,1.17065,0.86301,0.67249,0.76155,0.4424,1.48041,0.92755,1.51866,0.000472489,0.000472489,0.000472489
43,1233.62,0.99123,0.84392,1.16528,0.86467,0.71424,0.77846,0.45353,1.44169,0.90918,1.46373,0.000466599,0.000466599,0.000466599
44,1261.78,0.98708,0.84561,1.15726,0.84329,0.70018,0.77913,0.43598,1.52253,0.92557,1.51571,0.000460709,0.000460709,0.000460709
45,1290.58,0.98194,0.83455,1.15971,0.83512,0.71099,0.77586,0.44514,1.51959,0.91791,1.52124,0.000454818,0.000454818,0.000454818
46,1319.32,0.98308,0.83937,1.16062,0.8564,0.71451,0.77805,0.45031,1.41319,0.9131,1.43403,0.000448928,0.000448928,0.000448928
47,1347.52,0.974,0.82474,1.14879,0.87094,0.71663,0.78457,0.44011,1.47435,0.92358,1.4719,0.000443037,0.000443037,0.000443037
48,1376.33,0.95869,0.81439,1.14683,0.88491,0.69646,0.78285,0.45482,1.46627,0.89256,1.48344,0.000437147,0.000437147,0.000437147
49,1404.55,0.95602,0.81008,1.14485,0.84729,0.70153,0.7764,0.46192,1.40368,0.90119,1.4314,0.000431256,0.000431256,0.000431256
50,1432.93,0.96237,0.80213,1.14208,0.91477,0.67556,0.78181,0.45524,1.42611,0.87537,1.42654,0.000425365,0.000425365,0.000425365
51,1461.54,0.95784,0.80225,1.14214,0.86976,0.69919,0.76454,0.43466,1.48221,0.95138,1.49561,0.000419475,0.000419475,0.000419475
52,1489.78,0.94928,0.80009,1.14031,0.87884,0.70148,0.78371,0.44237,1.49007,0.90741,1.48819,0.000413584,0.000413584,0.000413584
53,1518.1,0.94819,0.79549,1.13628,0.8477,0.71688,0.78116,0.48208,1.3431,0.88322,1.38782,0.000407694,0.000407694,0.000407694
54,1546.56,0.95295,0.78655,1.13211,0.89662,0.70216,0.78654,0.47892,1.36787,0.83491,1.39846,0.000401804,0.000401804,0.000401804
55,1575.37,0.93699,0.78097,1.13325,0.87818,0.72901,0.79979,0.48024,1.36622,0.84597,1.41931,0.000395913,0.000395913,0.000395913
56,1603.61,0.93883,0.77967,1.1315,0.88203,0.72528,0.79942,0.45886,1.47807,0.85767,1.47678,0.000390023,0.000390023,0.000390023
57,1631.97,0.93239,0.76973,1.12842,0.90308,0.71947,0.79488,0.48357,1.35596,0.85484,1.37215,0.000384132,0.000384132,0.000384132
58,1660.28,0.93828,0.7746,1.13086,0.89487,0.72776,0.80314,0.48621,1.35908,0.8402,1.36831,0.000378242,0.000378242,0.000378242
59,1688.71,0.92529,0.76409,1.12218,0.89629,0.72194,0.80192,0.47541,1.43502,0.84102,1.46855,0.000372351,0.000372351,0.000372351
60,1717.19,0.92589,0.7631,1.1219,0.88423,0.73354,0.79579,0.48893,1.33101,0.79755,1.38909,0.00036646,0.00036646,0.00036646
61,1745.89,0.91566,0.75298,1.11948,0.88968,0.7064,0.79559,0.48456,1.37972,0.83351,1.40874,0.00036057,0.00036057,0.00036057
62,1773.79,0.91371,0.7498,1.12459,0.90975,0.71524,0.79521,0.49586,1.35133,0.83719,1.38273,0.00035468,0.00035468,0.00035468
63,1802.5,0.9168,0.7573,1.11703,0.91149,0.7168,0.80376,0.46813,1.42736,0.83295,1.44525,0.000348789,0.000348789,0.000348789
64,1830.72,0.91042,0.74674,1.11185,0.89838,0.72541,0.796,0.46982,1.4218,0.82203,1.4502,0.000342899,0.000342899,0.000342899
65,1859.45,0.9059,0.73741,1.10991,0.90804,0.73157,0.80043,0.49137,1.33438,0.81521,1.39078,0.000337008,0.000337008,0.000337008
66,1888.01,0.90152,0.73028,1.10897,0.90086,0.7392,0.80235,0.48861,1.40297,0.79604,1.4364,0.000331118,0.000331118,0.000331118
67,1916.36,0.8899,0.7272,1.10401,0.90501,0.73368,0.80618,0.49517,1.3512,0.80487,1.39142,0.000325227,0.000325227,0.000325227
68,1945.07,0.90062,0.73219,1.10915,0.87908,0.72826,0.80304,0.51199,1.29953,0.79849,1.36181,0.000319336,0.000319336,0.000319336
69,1973.67,0.89598,0.71948,1.10134,0.89904,0.72346,0.80008,0.48313,1.38598,0.79329,1.44437,0.000313446,0.000313446,0.000313446
70,2002.25,0.88016,0.7105,1.09586,0.88236,0.73213,0.80755,0.48242,1.38936,0.80945,1.44416,0.000307555,0.000307555,0.000307555
71,2030.97,0.89565,0.71364,1.09913,0.92591,0.72496,0.81117,0.48756,1.39129,0.77488,1.43112,0.000301665,0.000301665,0.000301665
72,2059.38,0.87797,0.71219,1.10257,0.92134,0.73443,0.82039,0.52055,1.26764,0.77273,1.34476,0.000295775,0.000295775,0.000295775
73,2087.69,0.88173,0.7054,1.09667,0.90417,0.74141,0.81477,0.47784,1.39071,0.83738,1.4471,0.000289884,0.000289884,0.000289884
74,2116.63,0.88442,0.70527,1.0859,0.89081,0.75202,0.81719,0.49838,1.351,0.76636,1.406,0.000283994,0.000283994,0.000283994
75,2145.09,0.88041,0.69862,1.09,0.92843,0.73099,0.823,0.51863,1.32213,0.75261,1.3712,0.000278103,0.000278103,0.000278103
76,2173.18,0.87659,0.69762,1.09041,0.917,0.74388,0.82233,0.50895,1.3617,0.75617,1.41376,0.000272212,0.000272212,0.000272212
77,2202.02,0.86299,0.69329,1.08553,0.89662,0.74713,0.82311,0.51582,1.32747,0.77069,1.3989,0.000266322,0.000266322,0.000266322
78,2229.79,0.86176,0.68672,1.08433,0.90609,0.74926,0.81973,0.52108,1.31234,0.75927,1.36868,0.000260431,0.000260431,0.000260431
